index,period,org_code,attendances,breaches,admissions
835,2017-01-01,RKB,1861,45,72
836,2017-01-01,RKB,1927,7,2
837,2017-01-01,RWE,11691,4146,3729
840,2017-01-01,RJE,14046,4583,4206
841,2017-01-01,RJE,404,0,0
842,2017-01-01,RJE,4376,65,0
843,2017-01-01,RBK,6401,2418,1965
844,2017-01-01,RBK,3587,14,0
846,2017-01-01,RWG,7670,2696,2768
848,2017-01-01,RGR,5353,681,2019
849,2017-01-01,RWP,9170,3174,2928
850,2017-01-01,RWP,4785,0,0
852,2017-01-01,RLQ,4195,1060,1084
853,2017-01-01,RLQ,3060,0,0
854,2017-01-01,REM,6896,2880,2229
856,2017-01-01,RCF,4996,580,997
857,2017-01-01,RBS,4829,131,1111
858,2017-01-01,RFF,6947,894,2227
859,2017-01-01,RXL,6534,2406,2136
861,2017-01-01,RMC,8074,1875,2334
863,2017-01-01,RAE,11080,1468,3075
866,2017-01-01,RWY,12385,967,2746
867,2017-01-01,RW3,12022,2741,3687
870,2017-01-01,RLN,7906,1681,2838
873,2017-01-01,RJR,5675,1080,1599
875,2017-01-01,RXP,10652,2797,3465
878,2017-01-01,RP5,10771,1990,3376
880,2017-01-01,RJN,3822,1153,980
882,2017-01-01,RXR,9071,3333,3153
885,2017-01-01,RR7,7081,606,1687
887,2017-01-01,RCD,3575,262,917
889,2017-01-01,RWA,10847,2066,3163
892,2017-01-01,RXN,6350,1735,1787
895,2017-01-01,RR8,17366,3508,5056
901,2017-01-01,RBT,5404,1082,1636
903,2017-01-01,RXF,19422,4444,4642
904,2017-01-01,RNL,7502,1471,2072
905,2017-01-01,RVW,5630,600,1729
909,2017-01-01,RJL,10715,2370,2569
911,2017-01-01,RTF,8126,1493,3831
913,2017-01-01,RW6,21943,6004,5261
916,2017-01-01,RQ6,7521,2659,2204
919,2017-01-01,RM3,8292,1933,2643
920,2017-01-01,RCU,4549,76,626
921,2017-01-01,RHQ,9180,2735,2976
924,2017-01-01,RTR,9800,1156,2065
926,2017-01-01,RE9,4925,725,1266
930,2017-01-01,RBN,8609,2619,3250
932,2017-01-01,RWJ,7257,2140,2355
933,2017-01-01,RMP,7037,1638,1773
934,2017-01-01,RTD,9872,1405,2200
937,2017-01-01,RFR,6275,1876,1575
939,2017-01-01,RM2,8151,1295,2563
940,2017-01-01,RTX,6612,1664,2051
942,2017-01-01,RWW,6598,1431,2661
945,2017-01-01,RBL,7665,1972,2527
948,2017-01-01,RRF,6852,1604,1798
949,2017-01-01,RCB,8546,3160,3362
951,2017-01-01,RTK,8219,1664,2099
957,2017-01-01,RXH,11727,2903,3274
960,2017-01-01,RXQ,6779,1474,2746
966,2017-01-01,RN7,8267,2229,2325
968,2017-01-01,RBD,3402,193,1326
970,2017-01-01,RVV,11837,4875,3216
972,2017-01-01,RXC,8771,2335,2663
974,2017-01-01,RDU,19458,2980,6133
976,2017-01-01,RTE,10613,2697,3482
977,2017-01-01,RN3,6556,1995,2425
979,2017-01-01,RN5,8914,1974,2429
982,2017-01-01,R1F,3244,819,830
986,2017-01-01,RWF,11206,3056,3431
988,2017-01-01,RPA,9088,2548,2061
989,2017-01-01,RVJ,6687,1651,2380
990,2017-01-01,RBZ,3429,403,1128
994,2017-01-01,RTH,10450,1833,3223
997,2017-01-01,RK9,7728,1634,2945
999,2017-01-01,RD3,5315,653,1777
1001,2017-01-01,RHU,8906,2966,2979
1005,2017-01-01,RHW,9158,1209,3112
1007,2017-01-01,REF,5580,1366,2515
1009,2017-01-01,RH8,7798,757,1954
1011,2017-01-01,RA2,5570,767,2059
1012,2017-01-01,RD1,5818,1763,2167
1014,2017-01-01,RNZ,3550,581,1126
1022,2017-01-01,RTP,7711,1004,2391
1024,2017-01-01,RBA,5198,453,1823
1026,2017-01-01,RDZ,5994,665,1982
1028,2017-01-01,RA9,5863,1088,2540
1030,2017-01-01,RHM,8230,1472,3311
1032,2017-01-01,RA7,8566,1985,2967
1034,2017-01-01,RYR,10512,1030,3159
1036,2017-01-01,RA3,4073,1471,1074
1041,2017-01-01,RA4,3812,162,1578
1042,2016-12-01,RF4,21096,3929,4644
1045,2016-12-01,R1H,29522,7298,6780
1050,2016-12-01,RQM,16931,2675,3671
1052,2016-12-01,RJ6,6551,1483,2190
1056,2016-12-01,RVR,12585,768,3414
1058,2016-12-01,RJ1,12254,1716,3216
1062,2016-12-01,RQX,10278,642,1733
1064,2016-12-01,RYJ,9996,3530,3274
1067,2016-12-01,RJZ,17326,5682,4487
1070,2016-12-01,RAX,9191,1417,1896
1072,2016-12-01,RJ2,18393,4254,5098
1074,2016-12-01,R1K,12163,5392,4705
1078,2016-12-01,RAP,14918,3078,2657
1082,2016-12-01,RAL,19157,3695,3816
1085,2016-12-01,RJ7,12785,1537,3818
1088,2016-12-01,RAS,5868,2777,1731
1092,2016-12-01,RKE,8238,1169,1307
1093,2016-12-01,RRV,11196,1565,2001
1097,2016-12-01,RDD,11910,1316,2484
1098,2016-12-01,RC1,6147,614,1916
1100,2016-12-01,RQ3,5297,368,985
1101,2016-12-01,RJF,5228,1190,1793
1103,2016-12-01,RGT,9127,2262,3084
1105,2016-12-01,RFS,6708,1247,1980
1107,2016-12-01,RDE,7272,2135,2555
1109,2016-12-01,RTG,11375,2504,3702
1113,2016-12-01,RWH,9048,1983,3408
1117,2016-12-01,RLT,6396,1119,1100
1120,2016-12-01,RR1,18850,4047,5865
1123,2016-12-01,RQQ,3574,1007,740
1124,2016-12-01,RGQ,7206,692,2078
1126,2016-12-01,RGP,6005,616,1296
1128,2016-12-01,RNQ,7469,1546,2584
1132,2016-12-01,RC9,8572,171,2760
1137,2016-12-01,RQ8,7412,1471,2475
1139,2016-12-01,RD8,7931,1585,1336
1142,2016-12-01,RM1,9632,2151,2533
1145,2016-12-01,RGN,8206,2454,2233
1147,2016-12-01,RNS,8679,1596,2568
1151,2016-12-01,RX1,14569,3901,4212
1158,2016-12-01,RXK,13578,3319,3339
1159,2016-12-01,RXK,1945,5,28
1160,2016-12-01,RXK,2886,0,0
1161,2016-12-01,RK5,8466,722,2828
1163,2016-12-01,RXW,9667,2523,2323
1164,2016-12-01,RXW,1812,0,0
1168,2016-12-01,RJC,5226,393,1655
1169,2016-12-01,RJC,535,0,0
1170,2016-12-01,RAJ,8375,2252,2428
1172,2016-12-01,RNA,8720,1495,2687
1173,2016-12-01,RNA,7491,0,0
1174,2016-12-01,RQW,8432,2584,1616
1175,2016-12-01,RCX,4970,348,1907
1176,2016-12-01,RL4,10541,1591,2588
1177,2016-12-01,RL4,9089,83,0
1178,2016-12-01,RWD,12617,2837,3594
1179,2016-12-01,RRK,9449,2179,2882
1180,2016-12-01,RKB,11507,3100,3930
1181,2016-12-01,RKB,1655,21,83
1182,2016-12-01,RKB,2115,5,3
1183,2016-12-01,RWE,12221,4881,3942
1186,2016-12-01,RJE,14278,5110,4458
1187,2016-12-01,RJE,358,0,0
1188,2016-12-01,RJE,4640,23,0
1189,2016-12-01,RBK,6268,2093,1888
1190,2016-12-01,RBK,3714,6,0
1192,2016-12-01,RWG,8117,2452,3012
1194,2016-12-01,RGR,5511,744,1977
1195,2016-12-01,RWP,9735,3568,2968
1196,2016-12-01,RWP,4690,0,0
1198,2016-12-01,RLQ,4490,1318,1123
1199,2016-12-01,RLQ,3104,0,0
1200,2016-12-01,REM,6945,2918,2202
1202,2016-12-01,RCF,5335,694,1042
1203,2016-12-01,RBS,5230,402,1091
1204,2016-12-01,RFF,6980,1149,2140
1205,2016-12-01,RXL,6902,2690,2251
1207,2016-12-01,RMC,8874,1959,2430
1209,2016-12-01,RAE,11737,2104,3285
1212,2016-12-01,RWY,12735,957,2701
1214,2016-12-01,RW3,12681,2380,3754
1217,2016-12-01,RLN,8164,1090,2926
1220,2016-12-01,RJR,5912,1152,1548
1222,2016-12-01,RXP,10593,2360,3302
1225,2016-12-01,RP5,10927,1811,3422
1227,2016-12-01,RJN,4153,884,1006
1229,2016-12-01,RXR,9428,3024,3253
1232,2016-12-01,RR7,7549,504,1755
1234,2016-12-01,RCD,4065,363,998
1236,2016-12-01,RWA,10770,1504,3376
1239,2016-12-01,RXN,7640,2308,2045
1242,2016-12-01,RR8,17763,4275,5030
1248,2016-12-01,RBT,5284,752,1813
1250,2016-12-01,RXF,19596,4516,4750
1251,2016-12-01,RNL,7406,1053,2105
1252,2016-12-01,RVW,5811,658,1787
1256,2016-12-01,RJL,10790,2115,2655
1258,2016-12-01,RTF,8620,2083,3799
1260,2016-12-01,RW6,22409,5784,5449
1263,2016-12-01,RQ6,7524,2709,2198
1266,2016-12-01,RM3,8662,1413,2898
1267,2016-12-01,RCU,5114,177,664
1268,2016-12-01,RHQ,9465,3380,2771
1271,2016-12-01,RTR,10109,992,2103
1273,2016-12-01,RE9,4833,444,1290
1275,2016-12-01,RVY,6506,1013,2014
1277,2016-12-01,RBN,8599,2234,3333
1279,2016-12-01,RWJ,7897,2414,2484
1280,2016-12-01,RMP,7165,1703,1764
